model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2-medium,256,5,12,64,0.3999967575073242,0.4006800055503845,0.4019657373428345,0.0044848753090079,0.0179395012360318,0.0358790024720637,89.18793276234959,22.335069424651028,11.2033699280189,0,0.3999967575073242,0.796875,0.796875
gpt2-medium,256,5,13,64,0.143958568572998,0.1460517048835754,0.1489997655153274,0.0044848753090079,0.0179395012360318,0.0358790024720637,32.098678035452686,8.141347017509469,4.152840247756117,0,0.143958568572998,0.078125,0.078125
gpt2-medium,256,5,14,64,0.2844657897949219,0.284534603357315,0.2846253216266632,0.0044848753090079,0.0179395012360318,0.0358790024720637,63.42780349401608,15.86078674170837,7.932921821008806,0,0.2844657897949219,0.53125,0.53125
gpt2-medium,256,5,15,64,0.3825116157531738,0.3833163678646087,0.3841966390609741,0.0044848753090079,0.0179395012360318,0.0358790024720637,85.28924204088602,21.367169734613903,10.708119306274446,0,0.3825116157531738,0.546875,0.546875
gpt2-medium,256,6,0,64,0.6811447143554688,0.6812036633491516,0.6813728213310242,0.0044848753090079,0.0179395012360318,0.0358790024720637,151.87595360508138,37.97227438971045,18.990851873921464,0,0.6811447143554688,1.0,1.0
gpt2-medium,256,6,1,64,0.3721891641616821,0.3722578287124634,0.3727692365646362,0.0044848753090079,0.0179395012360318,0.0358790024720637,82.98762808725863,20.75073458367816,10.389620972737008,0,0.3721891641616821,0.53125,0.53125
gpt2-medium,256,6,2,64,0.4936485290527344,0.4936856627464294,0.493838906288147,0.0044848753090079,0.0179395012360318,0.0358790024720637,110.06962179332636,27.51947538847131,13.764008814700524,0,0.4936485290527344,0.828125,0.828125
gpt2-medium,256,6,3,64,0.5022640228271484,0.5024403929710388,0.5028603672981262,0.0044848753090079,0.0179395012360318,0.0358790024720637,111.99063256415194,28.007489526067584,14.015450058559065,0,0.5022640228271484,1.0,1.0
gpt2-medium,256,6,4,64,0.7124786376953125,0.7125046253204346,0.7125617861747742,0.0044848753090079,0.0179395012360318,0.0358790024720637,158.8625298599237,39.717081090825104,19.860133701587507,0,0.7124786376953125,0.96875,0.96875
gpt2-medium,256,6,5,64,0.2102246284484863,0.2117264568805694,0.2142875641584396,0.0044848753090079,0.0179395012360318,0.0358790024720637,46.87413004019216,11.802248796934917,5.972506184509707,0,0.2102246284484863,0.1875,0.1875
