model,seq_len,layer,head,sink_share_first_1,sink_share_first_4,entropy,normalized_entropy,peak_position,head_type
gpt2,512,1,11,0.0011628102511167526,0.001540948636829853,5.214277267456055,0.8358457728421006,453,distributed
gpt2,512,2,0,0.10410189628601074,0.10410454124212265,4.182689189910889,0.6704827724293683,0,mixed
gpt2,512,2,1,0.2646665573120117,0.2698826193809509,4.229055881500244,0.6779153275425229,0,moderate_sink
gpt2,512,2,2,0.011766813695430756,0.011766813695430756,4.137419700622559,0.6632260982404962,478,recency
gpt2,512,2,3,0.02799414098262787,0.027994226664304733,4.178003311157227,0.6697316286471333,494,recency
gpt2,512,2,4,0.21249067783355713,0.21249069273471832,3.8134655952453613,0.6112964336512402,0,moderate_sink
gpt2,512,2,5,0.02751496434211731,0.02751496434211731,4.06756067276001,0.6520277345673158,488,recency
gpt2,512,2,6,0.02382838726043701,0.0238613560795784,3.9599711894989014,0.6347811996836927,471,recency
gpt2,512,2,7,0.604400634765625,0.6056916117668152,2.7311878204345703,0.4378079026974768,0,strong_sink
gpt2,512,2,8,0.05742931365966797,0.05742933228611946,4.0792975425720215,0.6539091483310212,0,mixed
gpt2,512,2,9,0.026789680123329163,0.026789680123329163,4.126700401306152,0.6615078004665423,482,recency
gpt2,512,2,10,0.0011659599840641022,0.0013314364477992058,4.523632049560547,0.7251357249674865,455,recency
gpt2,512,2,11,0.0009495783597230911,0.0009546540677547455,4.868729591369629,0.7804546707664792,488,recency
gpt2,512,3,0,0.056868553161621094,0.0603189580142498,5.999790191650391,0.9617630617631402,0,distributed
gpt2,512,3,1,0.24900245666503906,0.24900245666503906,3.466561794281006,0.5556879455049283,0,moderate_sink
gpt2,512,3,2,0.03914070129394531,0.03914070129394531,4.0314106941223145,0.6462329129107774,0,mixed
gpt2,512,3,3,0.2728276252746582,0.2728276252746582,3.537501811981201,0.5670595912534446,0,moderate_sink
gpt2,512,3,4,0.04155087471008301,0.043207891285419464,5.994202613830566,0.9608673761174468,0,distributed
gpt2,512,3,5,0.4501228332519531,0.45017552375793457,3.108475685119629,0.4982869395162235,0,moderate_sink
gpt2,512,3,6,0.08344125747680664,0.08344125747680664,3.9149279594421387,0.6275607947249692,0,mixed
gpt2,512,3,7,0.04284282773733139,0.04284282773733139,4.003407001495361,0.6417439364130569,0,mixed
gpt2,512,3,8,0.09631812572479248,0.09631812572479248,3.838472366333008,0.6153050052775505,0,mixed
gpt2,512,3,9,0.33861684799194336,0.33861684799194336,3.2154557704925537,0.5154357882541565,0,moderate_sink
gpt2,512,3,10,0.4616889953613281,0.4616890847682953,3.062469482421875,0.49091217057375885,0,moderate_sink
gpt2,512,3,11,0.22141599655151367,0.22141599655151367,3.6230103969573975,0.5807665703088436,0,moderate_sink
gpt2,512,4,0,0.33684730529785156,0.33684730529785156,3.178689479827881,0.5095421721192892,0,moderate_sink
gpt2,512,4,1,0.2095799446105957,0.2095799446105957,3.578627347946167,0.5736519920079509,0,moderate_sink
gpt2,512,4,2,0.6076164245605469,0.6076698899269104,2.4549243450164795,0.3935230198125402,0,strong_sink
gpt2,512,4,3,0.09913656115531921,0.09913656115531921,3.906327486038208,0.6261821435772861,0,mixed
gpt2,512,4,4,0.1800398826599121,0.1808396577835083,5.3591179847717285,0.8590636600187809,0,distributed
gpt2,512,4,5,0.6470832824707031,0.6470832824707031,2.077505111694336,0.3330229246736545,0,strong_sink
gpt2,512,4,6,0.0877988338470459,0.08779884874820709,4.27833890914917,0.6858153697190894,0,mixed
gpt2,512,4,7,0.25939178466796875,0.25942835211753845,4.220881462097168,0.6766049726164157,0,moderate_sink
gpt2,512,4,8,0.7880325317382812,0.7903742790222168,1.7338480949401855,0.27793489424722023,0,strong_sink
gpt2,512,4,9,0.06474298238754272,0.06474308669567108,4.223014831542969,0.6769469505630648,0,mixed
gpt2,512,4,10,0.49039459228515625,0.49467232823371887,3.527134418487549,0.5653977037889738,0,moderate_sink
gpt2,512,4,11,1.7397105693817139e-06,1.7397105693817139e-06,4.159663200378418,0.6667917189949176,463,recency
gpt2,512,5,0,0.2049086093902588,0.20586436986923218,5.237771987915039,0.8396119635857949,0,moderate_sink
gpt2,512,5,1,0.012868829071521759,0.013517887331545353,5.883889198303223,0.9431841963924664,0,distributed
gpt2,512,5,2,0.43071889877319336,0.43071889877319336,2.9212183952331543,0.46826969912849864,0,moderate_sink
gpt2,512,5,3,0.37349891662597656,0.37349942326545715,3.0954790115356445,0.4962035799020383,0,moderate_sink
gpt2,512,5,4,0.6446514129638672,0.6446514129638672,2.0642242431640625,0.3308940087661741,0,strong_sink
gpt2,512,5,5,0.09257383644580841,0.09473837167024612,5.531627178192139,0.8867167886693788,0,distributed
gpt2,512,5,6,0.7937507629394531,0.7937509417533875,1.30619215965271,0.20938188346433442,0,strong_sink
gpt2,512,5,7,0.9449081420898438,0.9449082016944885,0.3984449505805969,0.06387050602998615,0,strong_sink
gpt2,512,5,8,0.47365283966064453,0.4736560583114624,3.0789906978607178,0.4935605123052118,0,moderate_sink
gpt2,512,5,9,0.2057819366455078,0.207675039768219,5.10873556137085,0.8189274955114244,0,moderate_sink
gpt2,512,5,10,0.7751235961914062,0.7776208519935608,1.791043996810913,0.2871033658014503,0,strong_sink
gpt2,512,5,11,0.42670631408691406,0.42686694860458374,3.8459277153015137,0.6165000936092128,0,moderate_sink
gpt2,512,6,0,0.17788147926330566,0.17788152396678925,3.8165955543518066,0.6117981643713573,0,mixed
gpt2,512,6,1,0.8813858032226562,0.8813860416412354,0.840812087059021,0.13478171425772767,0,strong_sink
gpt2,512,6,2,0.457427978515625,0.4592333137989044,3.5961520671844482,0.5764611948455108,0,moderate_sink
gpt2,512,6,3,0.1951460838317871,0.19515296816825867,4.145157814025879,0.6644665135552524,0,mixed
gpt2,512,6,4,0.27039051055908203,0.2715996503829956,4.558915138244629,0.7307915846421277,0,moderate_sink
gpt2,512,6,5,0.6477203369140625,0.6477211117744446,2.1450905799865723,0.3438568380004731,0,strong_sink
gpt2,512,6,6,0.06632828712463379,0.0664290264248848,5.626547336578369,0.9019324377565132,0,distributed
gpt2,512,6,7,0.31722259521484375,0.3172360062599182,3.677211284637451,0.5894549427385983,0,moderate_sink
gpt2,512,6,8,0.19645118713378906,0.19645118713378906,3.8354225158691406,0.6148161159286979,0,mixed
gpt2,512,6,9,0.27289867401123047,0.28152647614479065,4.778084754943848,0.7659243534338497,0,moderate_sink
gpt2,512,6,10,0.2683296203613281,0.269696980714798,4.946635723114014,0.7929429807578644,0,moderate_sink
gpt2,512,6,11,0.6870079040527344,0.6870079040527344,1.8794704675674438,0.30127808033964587,0,strong_sink
gpt2,512,7,0,0.6121425628662109,0.6121425628662109,2.1827504634857178,0.34989369657432573,0,strong_sink
gpt2,512,7,1,0.24044525623321533,0.24331100285053253,4.919096946716309,0.7885285300755178,0,moderate_sink
gpt2,512,7,2,0.009193803183734417,0.009419242851436138,5.807918071746826,0.9310060666665041,0,distributed
gpt2,512,7,3,0.599365234375,0.5993692874908447,2.3753626346588135,0.3807693214816903,0,strong_sink
gpt2,512,7,4,0.8205108642578125,0.8205110430717468,1.1522272825241089,0.1847013984971665,0,strong_sink
gpt2,512,7,5,0.8014259338378906,0.801639199256897,1.4008898735046387,0.22456187481518994,0,strong_sink
gpt2,512,7,6,0.2720222473144531,0.27805283665657043,4.804371356964111,0.770138081253456,0,moderate_sink
gpt2,512,7,7,0.05436107516288757,0.0548197478055954,5.731818199157715,0.9188072990224382,0,distributed
