seq_len,mask_name,mask_group,mask_size,tail_loss,tail_ppl,ppl_ratio,loss_delta,last_token_kl,top1_changed,top5_overlap
512,first_1,sink,1,0.019548386335372925,1.0197407071828013,0.9924335114012817,-0.0075952596962451935,0.01266203261911869,0,0.4
512,first_4,sink,4,0.025731489062309265,1.0260654016982942,0.9985888396551589,-0.0014121569693088531,0.010489735752344131,0,0.4
512,first_8,sink,8,0.09841787070035934,1.103423777250838,1.0738756686942859,0.07127422466874123,0.014805899001657963,0,0.4
512,middle_4,middle,4,0.0385882593691349,1.039342456019495,1.0115103534755274,0.011444613337516785,0.0004064010572619736,0,1.0
512,middle_8,middle,8,0.04189584404230118,1.042785860734255,1.0148615487432793,0.01475219801068306,0.0006442510057240725,0,1.0
512,recent_4,recent,4,0.15714675188064575,1.1701673255567968,1.1388319203591415,0.13000310584902763,0.00012102960317861289,0,1.0
512,recent_8,recent,8,0.08534075319766998,1.0890881137343758,1.0599238937168853,0.058197107166051865,0.000135478752781637,0,1.0
512,random_4_trial0,random_4,4,0.029004601761698723,1.029429331652701,1.0018626883828252,0.0018609557300806046,0.00027462997240945697,0,1.0
512,random_4_trial1,random_4,4,0.029004601761698723,1.029429331652701,1.0018626883828252,0.0018609557300806046,0.00027462997240945697,0,1.0
512,random_4_trial2,random_4,4,0.12238819897174835,1.130192756298066,1.0999278128181211,0.09524455294013023,0.0013476562453433871,0,1.0
512,random_8_trial0,random_8,8,0.07882088422775269,1.0820104995662896,1.0530358079204651,0.05167723819613457,0.0017337823519483209,0,0.8
512,random_8_trial1,random_8,8,0.030697103589773178,1.0311731179428734,1.0035597785733994,0.00355345755815506,0.00030299331410788,0,1.0
512,random_8_trial2,random_8,8,0.022400660440325737,1.0226534391759816,0.9952682446029686,-0.004742985591292381,0.00026026414707303047,0,1.0
1024,baseline,baseline,0,0.013184142298996449,1.013271436313454,1.0,0.0,0.0,0,1.0
1024,first_1,sink,1,0.028512153774499893,1.028922516050769,1.0154460879646006,0.015328011475503445,0.0007993264007382095,0,0.4
1024,first_4,sink,4,0.030416227877140045,1.0308835271299397,1.017381414481161,0.017232085578143597,0.0013225923758000135,0,0.4
1024,first_8,sink,8,0.0853714644908905,1.08912156155239,1.0748566697141868,0.07218732219189405,0.0014774957671761513,0,0.4
1024,middle_4,middle,4,0.013064868748188019,1.0131505870385167,0.9998807335619989,-0.00011927355080842972,1.4106473145147902e-07,0,1.0
1024,middle_8,middle,8,0.018538527190685272,1.0187114325031388,1.005368745229291,0.005354384891688824,9.499239013166516e-07,0,1.0
1024,recent_4,recent,4,0.6380985975265503,1.8928783319018292,1.8680861455925517,0.6249144552275538,1.5518621694354806e-06,0,1.0
1024,recent_8,recent,8,0.2836002707481384,1.3279020233679117,1.3105096776429086,0.270416128449142,3.064240445382893e-06,0,1.0
1024,random_4_trial0,random_4,4,0.13525475561618805,1.1448283986686771,1.1298338802817354,0.1220706133171916,1.652974242460914e-05,0,1.0
1024,random_4_trial1,random_4,4,0.012821893207728863,1.0129044461313854,0.9996378165130126,-0.00036224909126758575,3.941310922073171e-07,0,1.0
1024,random_4_trial2,random_4,4,0.01267169788479805,1.0127523240452996,0.9994876868630156,-0.0005124444141983986,2.458209337419248e-06,0,1.0
1024,random_8_trial0,random_8,8,0.013063082471489906,1.0131487772728476,0.9998789474999387,-0.0001210598275065422,0.0001671448553679511,0,0.8
1024,random_8_trial1,random_8,8,0.012866877019405365,1.0129500114590797,0.9996827850437157,-0.0003172652795910835,3.381446163075452e-07,0,1.0
1024,random_8_trial2,random_8,8,0.012908430770039558,1.0129921042058105,0.9997243264759739,-0.0002757115289568901,6.140756795502966e-06,0,1.0
