model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2-medium,128,0,3,64,0.09900188446044922,0.15831977128982544,0.2015337347984314,0.010769627951303177,0.04307851180521271,0.08615702361042542,9.192693090987374,3.675144861217513,2.3391445798975448,0,0.09900188446044922,0.984375,0.984375
gpt2-medium,128,0,4,64,0.004086673259735107,0.039446666836738586,0.05533525347709656,0.010769627951303177,0.04307851180521271,0.08615702361042542,0.37946280764885665,0.9156924225958369,0.6422605048115976,49,0.038503289222717285,0.0,0.0
gpt2-medium,128,0,5,64,0.03382575511932373,0.03919597342610359,0.0687514990568161,0.010769627951303177,0.04307851180521271,0.08615702361042542,3.1408471371780906,0.9098729687630641,0.7979790407766226,57,0.04018238186836243,0.046875,0.046875
gpt2-medium,128,0,6,64,0.030684353783726692,0.04370258376002312,0.07120917737483978,0.010769627951303177,0.04307851180521271,0.08615702361042542,2.8491563424912685,1.0144868503729252,0.8265046120537424,57,0.1208815947175026,0.03125,0.03125
gpt2-medium,128,0,7,64,0.0053498223423957825,0.16503113508224487,0.25417691469192505,0.010769627951303177,0.04307851180521271,0.08615702361042542,0.49675089674276335,3.83093863196721,2.950158954436866,1,0.08510398864746094,0.75,0.75
gpt2-medium,128,0,8,64,0.018764495849609375,0.04108858108520508,0.06752246618270874,0.010769627951303177,0.04307851180521271,0.08615702361042542,1.742353211685347,0.9538068833713322,0.7837140067421989,57,0.03093397617340088,0.0,0.0
gpt2-medium,128,0,9,64,0.03521549701690674,0.04038337618112564,0.05992760509252548,0.010769627951303177,0.04307851180521271,0.08615702361042542,3.269889839847763,0.9374366589943123,0.6955626202165363,57,0.08129125833511353,0.0,0.0
gpt2-medium,128,0,10,64,0.02385169267654419,0.028452686965465546,0.05825597792863846,0.010769627951303177,0.04307851180521271,0.08615702361042542,2.214718352796767,0.6604844451015282,0.6761605204939926,65,0.04566192626953125,0.015625,0.015625
gpt2-medium,128,0,11,64,0.01669543981552124,0.04727387800812721,0.07437941431999207,0.010769627951303177,0.04307851180521271,0.08615702361042542,1.5502336655465438,1.0973888378940435,0.8633006480854313,55,0.02746117115020752,0.0,0.0
gpt2-medium,128,0,12,64,0.058418989181518555,0.07254275679588318,0.09201830625534058,0.010769627951303177,0.04307851180521271,0.08615702361042542,5.424420364906809,1.6839661760809748,1.0680302359493987,57,0.1895899772644043,0.0,0.0
gpt2-medium,128,0,13,64,0.019026517868041992,0.1550581455230713,0.2531259059906006,0.010769627951303177,0.04307851180521271,0.08615702361042542,1.7666829303736247,3.5994313411799084,2.937960196201243,1,0.06320905685424805,1.0,1.0
gpt2-medium,128,0,14,64,0.07376575469970703,0.07771646976470947,0.09402557462453842,0.010769627951303177,0.04307851180521271,0.08615702361042542,6.849424607168627,1.8040657977257561,1.091328027412972,57,0.5395278930664062,0.0,0.0
gpt2-medium,128,0,15,64,0.036794185638427734,0.10441756248474121,0.16107624769210815,0.010769627951303177,0.04307851180521271,0.08615702361042542,3.4164769483959248,2.4238897331663667,1.8695660660289701,0,0.036794185638427734,0.765625,0.765625
gpt2-medium,128,1,0,64,0.05425071716308594,0.1119396984577179,0.16346865892410278,0.010769627951303177,0.04307851180521271,0.08615702361042542,5.0373808091041195,2.5985043068310603,1.8973341008535292,0,0.05425071716308594,0.640625,0.640625
gpt2-medium,128,1,1,64,0.0686194896697998,0.09925559163093567,0.1254885494709015,0.010769627951303177,0.04307851180521271,0.08615702361042542,6.3715747637778435,2.304062686281685,1.4565098028260666,0,0.0686194896697998,0.546875,0.546875
gpt2-medium,128,1,2,64,0.05609560012817383,0.07272648811340332,0.08973906189203262,0.010769627951303177,0.04307851180521271,0.08615702361042542,5.208685052243238,1.68823121008101,1.041575696693099,57,0.06683802604675293,0.09375,0.09375
gpt2-medium,128,1,3,64,0.3381690979003906,0.4581514596939087,0.5327366590499878,0.010769627951303177,0.04307851180521271,0.08615702361042542,31.4002581546441,10.63526664443571,6.183322458524717,0,0.3381690979003906,1.0,1.0
